pako,TR,
lawanson,TE,"lawanson,657"
lawanson,TE,"lawanson,657"
itire road junction*,TR,"itire Rd Junction,655"
ijesha market,TE,ijesha market,949
ikeja,TE,"ikeja,714"
balogun,TR,"balogun,715"
allen,TR,"allen,716"
clay,TR,clay,950
oluyole,TR,oluyole,951
welfare,TR,welfare,952
first bank,TR,first bank,953
olusosun,TR,olusosun,954
ojota,TE,"ojota,785"
ikeja,TE,"ikeja,714"
ajayi farm,TR,"ajayi farm,740"
ile zik,TR,"ile zik,741"
mangoro,TR,"mangoro,755"
cement,TR,"cement,756"
shasha,TR,"masha,658"
cele,TR,"cele,762"
jimoh,TR,
vulcanizer,TR,"vulcaniser,748"
baale,TR,
micom,TR,
bakery,TR,
Egbeda,TE,
ikeja,TE,"ikeja,714"
ajayi farm,TR,"ajayi farm,740"
ile zik,TR,"ile zik,741"
mangoro,TR,"mangoro,755"
cement,TR,"cement,756"
shasha,TE,"masha,658"
egbeda,TE,
okunola,TR,
oja,TR,"oja,863"
orelope,TR,
seliat,TR,
abule odu,TR,
ilepo alhaji,TR,
faith,TR,
car wash,TR,
baba oba,TR,
lab,TR,
isherin olofin,TR,
idimu,TR,
alhaja,TR,
council,TR,
pad,TR,
arida,TR,
foursquare,TR,
paradise,TR,
college,TR,
ikotun,TE,"ikotun,765"
egbeda,TE,
mokola,TR,
banire,TR,"bank,754"
ponle,TR,
olorun adaba,TR,"olorunsogo,703"
church,TR,"church,768"
alimosho,TR,
alagutan,TR,
iyana ipaja,TE,"iyana-ipaja,760"
egbeda,TE,
okunola,TR,
oja,TR,"oja,863"
orelope,TR,
seliat,TR,
abule odu,TR,
ilepo alhaji,TR,
faith,TR,
car wash,TR,
baba oba,TR,
lab,TR,
isherin olofin,TR,
pipeline,TR,
odo eran,TR,"odo eran,751"
association,TR,
idowu egba,TR,"idowu street,653"
unity,TR,
general,TR,
ede,TR,
oko filling,TR,
igando,TR,
olorunfemi,TR,"olorunsogo,703"
olowo ila,TR,
akesan junction,TR,
araromi,TR,
ewedogbon,TR,
adexson,TR,
afolabi,TR,
bus stop,TR,
iba junction,TR,
adoff,TR,
iyana school,TR,"iyana school,892"
ajakeye,TR,"ajah,854"
ipaye,TR,
iba estate,TR,
iyana iba,TE,"iyanaoba,875"
iyana iba,TE,"iyanaoba,875"
iba estate,TE,
iyana iba,TE,"iyanaoba,875"
iba estate,TR,
ipaye,TR,
ajakeye,TR,"ajah,854"
iyana school,TR,"iyana school,892"
adoff,TR,
iba junction,TE,
iyana iba,TE,"iyanaoba,875"
iba estate,TR,
ipaye,TR,
ajakeye,TR,"ajah,854"
iyana school,TR,"iyana school,892"
adoff,TR,
iba junction,TR,
bus stop,TR,
afolabi,TR,
adexson,TR,
ewedogbon,TR,
araromi,TR,
akesan junction,TR,
olowo ila,TR,
olorunfemi,TR,"olorunsogo,703"
igando,TR,
oko filling,TR,
ede,TR,
general,TR,
unity,TR,
idowu egba,TR,"idowu street,653"
association,TR,
odo eran,TR,"odo eran,751"
pipeline,TR,
isherin olofin,TR,
lab,TR,
baba oba,TR,
car wash,TR,
faith,TR,
ilepo alhaji,TR,
abule odu,TR,
seliat,TR,
orelope,TR,
oja,TR,"oja,863"
okunola,TR,
egbeda,TR,
mokola,TR,
banire,TR,"bank,754"
ponle,TR,
olorun adaba,TR,"olorunsogo,703"
church,TR,"church,768"
alimosho,TR,
alagutan,TR,
iyana ipaja,TE,"iyana-ipaja,760"
iyana iba,TE,"iyanaoba,875"
iba estate,TR,
ipaye,TR,
ajakeye,TR,"ajah,854"
iyana school,TR,"iyana school,892"
adoff,TR,
iba junction,TR,
bus stop,TR,
afolabi,TR,
adexson,TR,
ewedogbon,TR,
araromi,TR,
akesan junction,TR,
olowo ila,TR,
olorunfemi,TR,"olorunsogo,703"
igando,TR,
oko filling,TR,
ede,TR,
general,TR,
unity,TR,
idowu egba,TR,"idowu street,653"
association,TR,
odo eran,TR,"odo eran,751"
pipeline,TR,
isherin olofin,TE,
iyana iba,TE,"iyanaoba,875"
iba estate,TR,
ipaye,TR,
ajakeye,TR,"ajah,854"
iyana school,TR,"iyana school,892"
adoff,TR,
iba junction,TR,
bus stop,TR,
afolabi,TR,
adexson,TR,
ewedogbon,TR,
araromi,TR,
akesan junction,TR,
olowo ila,TR,
olorunfemi,TR,"olorunsogo,703"
igando,TR,
bakari,TR,
oloye,TR,"olosha,702"
ikotun,TE,"ikotun,765"
iyana iba,TE,"iyanaoba,875"
iba estate,TR,
ipaye,TR,
ajakeye,TR,"ajah,854"
iyana school,TR,"iyana school,892"
adoff,TR,
iba junction,TR,
bus stop,TR,
afolabi,TR,
adexson,TR,
ewedogbon,TR,
araromi,TR,
akesan junction,TR,
olowo ila,TR,
olorunfemi,TR,"olorunsogo,703"
igando,TR,
oko filling,TR,
ede,TR,
general,TR,
unity,TR,
idowu egba,TR,"idowu street,653"
association,TR,
odo eran,TR,"odo eran,751"
pipeline,TR,
isherin olofin,TR,
lab,TR,
baba oba,TR,
car wash,TR,
faith,TR,
ilepo alhaji,TR,
abule odu,TR,
seliat,TR,
orelope,TR,
oja,TR,"oja,863"
okunola,TR,
egbeda,TR,
bakery,TR,
micom,TR,
baale,TR,
vulcanizer,TR,"vulcaniser,748"
jimoh,TR,
cele,TR,"cele,762"
shasha,TR,"masha,658"
cement,TR,"cement,756"
